lr,hidden_dim,strict_mode,test_loss,test_tot_acc,test_change_acc
0.01,32,False,0.62910196185112,0.6964285714285714,0.40625
0.01,32,True,0.6077573150396347,0.29081632653061223,0.5
0.01,64,False,0.6461814716458321,0.6760204081632653,0.34375
0.01,64,True,0.8883799612522125,0.7040816326530612,0.71875
0.01,128,False,0.8880028650164604,0.29591836734693877,0.28125
0.01,128,True,0.8913796693086624,0.7040816326530612,0.71875
0.001,32,False,0.5935940891504288,0.7372448979591837,0.5625
0.001,32,True,0.5933147519826889,0.27040816326530615,0.4375
0.001,64,False,0.5962604433298111,0.7321428571428571,0.5625
0.001,64,True,0.5969033539295197,0.26785714285714285,0.4375
0.001,128,False,0.6023190543055534,0.7168367346938775,0.5625
0.001,128,True,0.6029312089085579,0.288265306122449,0.4375
0.0001,32,False,0.6425449103116989,0.6785714285714286,0.34375
0.0001,32,True,0.6397048160433769,0.32908163265306123,0.65625
0.0001,64,False,0.6435390636324883,0.6760204081632653,0.34375
0.0001,64,True,0.6458822786808014,0.32908163265306123,0.65625
0.0001,128,False,0.6282946392893791,0.6913265306122449,0.40625
0.0001,128,True,0.6192998960614204,0.3086734693877551,0.5625
